iter	Passed	Remaining
447	1247	1536
448	1248	1531
449	1249	1527
450	1250	1522
451	1251	1517
452	1256	1517
453	1257	1512
454	1260	1509
455	1261	1505
456	1263	1500
457	1264	1496
458	1266	1492
459	1275	1497
460	1277	1494
461	1299	1513
462	1306	1514
463	1307	1510
464	1308	1506
465	1310	1501
466	1311	1496
467	1312	1492
468	1313	1487
469	1314	1482
470	1318	1481
471	1320	1476
472	1321	1472
473	1322	1468
474	1324	1463
475	1326	1460
476	1327	1455
477	1329	1451
478	1331	1448
479	1333	1444
480	1334	1439
481	1335	1435
482	1355	1450
483	1357	1446
484	1358	1442
485	1359	1437
486	1363	1436
487	1364	1432
488	1366	1427
489	1367	1423
490	1368	1418
491	1370	1414
492	1371	1410
493	1372	1405
494	1373	1401
495	1382	1404
496	1383	1400
497	1385	1396
498	1386	1392
499	1387	1387
500	1389	1383
501	1394	1383
502	1395	1379
503	1397	1375
504	1402	1374
505	1403	1370
506	1404	1366
507	1407	1363
508	1409	1359
509	1414	1359
510	1416	1355
511	1417	1350
512	1418	1346
513	1425	1347
514	1426	1343
515	1427	1339
516	1430	1336
517	1431	1331
518	1432	1327
519	1434	1324
520	1439	1323
521	1441	1319
522	1442	1315
523	1443	1311
524	1444	1307
525	1446	1303
526	1447	1299
527	1467	1312
528	1474	1312
529	1475	1308
530	1477	1305
531	1480	1302
532	1483	1299
533	1484	1295
534	1486	1291
535	1492	1291
536	1495	1289
537	1496	1285
538	1497	1281
539	1499	1277
540	1500	1273
541	1503	1270
542	1504	1266
543	1506	1262
544	1507	1258
545	1529	1272
546	1531	1268
547	1532	1264
548	1538	1263
549	1539	1259
550	1541	1256
551	1542	1252
552	1544	1248
553	1545	1244
554	1546	1240
555	1548	1236
556	1554	1235
557	1555	1231
558	1556	1227
559	1557	1223
560	1559	1219
561	1560	1216
562	1561	1212
563	1563	1208
564	1570	1209
565	1572	1205
566	1589	1214
567	1591	1210
568	1592	1206
569	1594	1202
570	1602	1203
571	1603	1200
572	1605	1196
573	1606	1192
574	1608	1189
575	1610	1185
576	1611	1181
577	1620	1182
578	1621	1179
579	1623	1175
580	1624	1171
581	1626	1167
582	1627	1164
583	1629	1160
584	1634	1159
585	1636	1155
586	1656	1165
587	1658	1162
588	1660	1158
589	1665	1157
590	1668	1154
591	1672	1152
592	1673	1148
593	1675	1145
594	1681	1144
595	1682	1140
596	1684	1136
597	1685	1133
598	1687	1129
599	1688	1125
600	1691	1122
601	1692	1119
602	1694	1115
603	1695	1111
604	1697	1107
605	1698	1104
606	1724	1116
607	1726	1112
608	1727	1109
609	1729	1105
610	1730	1102
611	1732	1098
612	1740	1098
613	1742	1095
614	1743	1091
615	1745	1088
616	1746	1084
617	1749	1081
618	1753	1079
619	1754	1075
620	1756	1071
621	1758	1068
622	1760	1065
623	1761	1061
624	1763	1058
625	1773	1059
626	1775	1056
627	1778	1053
628	1779	1049
629	1781	1046
630	1783	1042
631	1784	1039
632	1786	1035
633	1787	1032
634	1789	1028
635	1798	1029
636	1799	1025
637	1801	1022
638	1804	1019
639	1811	1018
640	1812	1015
641	1814	1011
642	1817	1009
643	1819	1005
644	1831	1008
645	1833	1004
646	1834	1000
647	1836	997
648	1839	994
649	1840	991
650	1842	987
651	1851	988
652	1852	984
653	1854	980
654	1855	977
655	1857	974
656	1858	970
657	1865	969
658	1867	966
659	1869	963
660	1870	959
661	1879	959
662	1880	955
663	1882	952
664	1883	948
